cluster,taxonomy,count
564,Rhinovirus C,1
565,Rhinovirus A,66
566,Rhinovirus A,99
567,Rhinovirus B,108
568,Rhinovirus A,95
569,HCoV-229E,60
570,HCoV-229E,118
571,Rhinovirus B,144
572,Rhinovirus B,82
572,Rhinovirus A,31
573,HCoV-OC43,55
574,Rhinovirus A,70
574,SARS-CoV-2,12
575,Rhinovirus A,98
576,Rhinovirus A,51
577,Rhinovirus A,58
578,HCoV-OC43,49
578,Rhinovirus B,23
579,Rhinovirus B,151
579,Rhinovirus A,18
580,HCoV-229E,56
581,HCoV-229E,97
582,HCoV-OC43,67
583,HCoV-OC43,54
584,Rhinovirus A,121
585,Rhinovirus A,54
586,SARS-CoV-2,108
587,HCoV-229E,130
588,HCoV-229E,174
589,Rhinovirus A,80
589,Rhinovirus B,15
589,Rhinovirus C,12
589,SARS-CoV-2,6
589,HCoV-OC43,1
590,HCoV-229E,105
591,HCoV-229E,102
592,Rhinovirus A,81
593,Rhinovirus A,533
594,Rhinovirus A,71
595,Rhinovirus A,79
596,Rhinovirus A,253
597,HCoV-229E,184
598,Rhinovirus A,58
599,Rhinovirus A,59
599,HCoV-229E,1
600,Rhinovirus A,120
601,Rhinovirus A,67
602,Rhinovirus A,99
603,HCoV-229E,59
604,HCoV-229E,104
605,Rhinovirus A,86
606,Rhinovirus A,116
607,Rhinovirus A,70
608,Rhinovirus A,50
609,SARS-CoV-2,144
610,SARS-CoV-2,108
611,Rhinovirus A,66
612,Rhinovirus A,175
613,Rhinovirus A,185
614,HCoV-229E,193
615,HCoV-229E,153
616,HCoV-229E,74
617,HCoV-229E,98
618,HCoV-229E,74
619,Rhinovirus A,74
620,HCoV-229E,175
621,HCoV-229E,57
622,HCoV-229E,58
623,HCoV-229E,140
624,Rhinovirus B,111
625,HCoV-229E,63
626,HCoV-229E,184
627,Rhinovirus A,160
628,Rhinovirus A,113
629,Rhinovirus A,89
630,HCoV-229E,114
631,HCoV-229E,161
632,Rhinovirus A,94
633,Rhinovirus A,517
634,HCoV-229E,114
635,HCoV-229E,87
636,Rhinovirus A,84
637,HCoV-229E,128
638,Rhinovirus A,142
639,HCoV-229E,87
640,HCoV-229E,107
641,Rhinovirus A,78
642,Rhinovirus A,179
643,HCoV-229E,109
644,Rhinovirus A,88
645,Rhinovirus A,197
646,Rhinovirus A,69
647,Rhinovirus A,178
648,Rhinovirus A,410
649,HCoV-229E,139
650,HCoV-229E,238
651,HCoV-229E,109
652,HCoV-229E,67
653,HCoV-229E,84
654,HCoV-229E,69
655,Rhinovirus A,159
656,Rhinovirus A,66
657,HCoV-229E,147
658,HCoV-229E,114
659,HCoV-229E,53
660,HCoV-229E,119
661,Rhinovirus A,590
662,Rhinovirus A,93
663,HCoV-229E,122
664,HCoV-229E,101
665,Rhinovirus A,53
666,Rhinovirus A,58
667,HCoV-229E,88
668,HCoV-229E,70
669,HCoV-229E,75
670,HCoV-229E,85
671,HCoV-229E,76
672,HCoV-229E,105
673,HCoV-229E,221
674,HCoV-229E,117
675,HCoV-229E,223
675,Rhinovirus A,1
676,HCoV-229E,191
677,Rhinovirus A,155
678,Rhinovirus A,88
679,HCoV-229E,52
680,HCoV-229E,63
681,HCoV-229E,51
682,HCoV-229E,83
683,HCoV-229E,54
684,Rhinovirus A,163
685,Rhinovirus A,64
